CallStack,Count
google.golang.org/grpc.(*Server).serveStreams.func1.1;google.golang.org/grpc.(*Server).handleStream;google.golang.org/grpc.(*Server).processUnaryRPC;github.com/harlow/go-micro-services/services/recommendation/proto._Recommendation_GetRecommendations_Handler;github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingServerInterceptor.func1;github.com/uber/jaeger-client-go.(*Tracer).Extract;github.com/uber/jaeger-client-go.(*textMapPropagator).Extract;github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.metadataReaderWriter.ForeachKey;github.com/uber/jaeger-client-go.(*textMapPropagator).Extract.func1;github.com/uber/jaeger-client-go.ContextFromString;strings.Split;strings.genSplit;strings.Count;runtime.newstack;runtime.copystack;runtime.gentraceback;runtime.funcspdelta;runtime.pcvalue;runtime.step,43
google.golang.org/grpc.(*Server).serveStreams.func1.1;google.golang.org/grpc.(*Server).handleStream;google.golang.org/grpc.(*Server).processUnaryRPC,42
google.golang.org/grpc.(*Server).handleRawConn.func3;google.golang.org/grpc.(*Server).handleRawConn.func2;google.golang.org/grpc.(*Server).serveStreams;google.golang.org/grpc/transport.(*http2Server).HandleStreams;golang.org/x/net/http2.(*Framer).ReadFrame;golang.org/x/net/http2.(*Framer).checkFrameOrder,42
google.golang.org/grpc.(*Server).serveStreams.func1.1;google.golang.org/grpc.(*Server).handleStream;google.golang.org/grpc.(*Server).processUnaryRPC;github.com/harlow/go-micro-services/services/recommendation/proto._Recommendation_GetRecommendations_Handler;github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingServerInterceptor.func1;github.com/uber/jaeger-client-go.(*Tracer).Extract;github.com/uber/jaeger-client-go.(*textMapPropagator).Extract;github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.metadataReaderWriter.ForeachKey;github.com/uber/jaeger-client-go.(*textMapPropagator).Extract.func1;github.com/uber/jaeger-client-go.ContextFromString;strings.Split;strings.genSplit;strings.Count;runtime.newstack;runtime.copystack;runtime.gentraceback;runtime.adjustframe;runtime.getStackMap;runtime.pcdatavalue;runtime.pcvalue;runtime.step,41
google.golang.org/grpc.(*Server).serveStreams.func1.1;google.golang.org/grpc.(*Server).handleStream;google.golang.org/grpc.(*Server).processUnaryRPC;github.com/harlow/go-micro-services/services/recommendation/proto._Recommendation_GetRecommendations_Handler;github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingServerInterceptor.func1;github.com/uber/jaeger-client-go.(*Tracer).Extract;github.com/uber/jaeger-client-go.(*textMapPropagator).Extract;github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.metadataReaderWriter.ForeachKey;github.com/uber/jaeger-client-go.(*textMapPropagator).Extract.func1;github.com/uber/jaeger-client-go.ContextFromString;strings.Split;strings.genSplit;strings.Count;runtime.newstack;runtime.copystack;runtime.gentraceback;runtime.findfunc,40
google.golang.org/grpc.(*Server).handleRawConn.func3;google.golang.org/grpc.(*Server).handleRawConn.func2;google.golang.org/grpc.(*Server).serveStreams;google.golang.org/grpc/transport.(*http2Server).HandleStreams,40
runtime.mcall;runtime.park_m;runtime.schedule;runtime.findrunnable;runtime.stealWork,37
google.golang.org/grpc.(*Server).serveStreams.func1.1;google.golang.org/grpc.(*Server).handleStream;google.golang.org/grpc.(*Server).processUnaryRPC;github.com/harlow/go-micro-services/services/recommendation/proto._Recommendation_GetRecommendations_Handler;github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingServerInterceptor.func1;github.com/harlow/go-micro-services/services/recommendation/proto._Recommendation_GetRecommendations_Handler.func1;github.com/harlow/go-micro-services/services/recommendation.(*Server).GetRecommendations;github.com/hailocab/go-geoindex.Distance;github.com/hailocab/go-geoindex.distance,36
google.golang.org/grpc.(*Server).handleRawConn.func3;google.golang.org/grpc.(*Server).handleRawConn.func2;google.golang.org/grpc.(*Server).serveStreams;google.golang.org/grpc/transport.(*http2Server).HandleStreams;golang.org/x/net/http2.(*Framer).ReadFrame;golang.org/x/net/http2.typeFrameParser;runtime.mapaccess1,35
google.golang.org/grpc.(*Server).serveStreams.func1.1;google.golang.org/grpc.(*Server).handleStream;google.golang.org/grpc.(*Server).processUnaryRPC;github.com/harlow/go-micro-services/services/recommendation/proto._Recommendation_GetRecommendations_Handler;github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingServerInterceptor.func1;github.com/harlow/go-micro-services/services/recommendation/proto._Recommendation_GetRecommendations_Handler.func1;github.com/harlow/go-micro-services/services/recommendation.(*Server).GetRecommendations;runtime.newobject;runtime.mallocgc,35
