CallStack,Count
google.golang.org/grpc.(*Server).serveStreams.func1.1;google.golang.org/grpc.(*Server).handleStream;google.golang.org/grpc.(*Server).processUnaryRPC;github.com/harlow/go-micro-services/services/rate/proto._Rate_GetRates_Handler;github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingServerInterceptor.func1;github.com/harlow/go-micro-services/services/rate/proto._Rate_GetRates_Handler.func1;github.com/harlow/go-micro-services/services/rate.(*Server).GetRates;github.com/bradfitz/gomemcache/memcache.(*Client).Get;github.com/bradfitz/gomemcache/memcache.(*Client).withKeyAddr;github.com/bradfitz/gomemcache/memcache.(*Client).Get.func1;github.com/bradfitz/gomemcache/memcache.(*Client).getFromAddr;github.com/bradfitz/gomemcache/memcache.(*Client).withAddrRw;github.com/bradfitz/gomemcache/memcache.(*Client).getFromAddr.func1;github.com/bradfitz/gomemcache/memcache.parseGetResponse;github.com/bradfitz/gomemcache/memcache.scanGetResponseLine;fmt.Sscanf;fmt.Fscanf;fmt.(*ss).doScanf;fmt.(*ss).advance;unicode/utf8.DecodeRuneInString,57
runtime.mcall;runtime.park_m;runtime.schedule;runtime.findrunnable;runtime.stealWork;runtime.checkTimers,57
google.golang.org/grpc/transport.newHTTP2Server.func2;google.golang.org/grpc/transport.loopyWriter;google.golang.org/grpc/transport.(*http2Server).itemHandler,57
runtime.mcall;runtime.park_m;runtime.schedule;runtime.findrunnable;runtime.nanotime,56
runtime.mcall;runtime.park_m;runtime.schedule,54
google.golang.org/grpc.(*Server).serveStreams.func1.1;google.golang.org/grpc.(*Server).handleStream;google.golang.org/grpc.(*Server).processUnaryRPC;github.com/harlow/go-micro-services/services/rate/proto._Rate_GetRates_Handler;github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingServerInterceptor.func1,51
google.golang.org/grpc/transport.newHTTP2Server.func2;google.golang.org/grpc/transport.loopyWriter,51
google.golang.org/grpc.(*Server).serveStreams.func1.1;google.golang.org/grpc.(*Server).handleStream;google.golang.org/grpc.(*Server).processUnaryRPC;github.com/harlow/go-micro-services/services/rate/proto._Rate_GetRates_Handler;github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingServerInterceptor.func1;github.com/harlow/go-micro-services/services/rate/proto._Rate_GetRates_Handler.func1;github.com/harlow/go-micro-services/services/rate.(*Server).GetRates;github.com/bradfitz/gomemcache/memcache.(*Client).Get;github.com/bradfitz/gomemcache/memcache.(*Client).withKeyAddr;github.com/bradfitz/gomemcache/memcache.(*Client).Get.func1;github.com/bradfitz/gomemcache/memcache.(*Client).getFromAddr;github.com/bradfitz/gomemcache/memcache.(*Client).withAddrRw;github.com/bradfitz/gomemcache/memcache.(*Client).getFromAddr.func1;github.com/bradfitz/gomemcache/memcache.parseGetResponse;bufio.(*Reader).ReadSlice;bufio.(*Reader).fill,51
google.golang.org/grpc.(*Server).serveStreams.func1.1;google.golang.org/grpc.(*Server).handleStream;google.golang.org/grpc.(*Server).processUnaryRPC;github.com/harlow/go-micro-services/services/rate/proto._Rate_GetRates_Handler;github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingServerInterceptor.func1;github.com/uber/jaeger-client-go.(*Tracer).Extract;github.com/uber/jaeger-client-go.(*textMapPropagator).Extract;github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.metadataReaderWriter.ForeachKey;github.com/uber/jaeger-client-go.(*textMapPropagator).Extract.func1;github.com/uber/jaeger-client-go.ContextFromString;strings.Split;strings.genSplit;strings.Count;runtime.newstack;runtime.copystack;runtime.gentraceback;runtime.adjustframe;runtime.getStackMap;runtime.pcdatavalue;runtime.pcvalue;runtime.step,51
google.golang.org/grpc.(*Server).serveStreams.func1.1;google.golang.org/grpc.(*Server).handleStream;google.golang.org/grpc.(*Server).processUnaryRPC;github.com/harlow/go-micro-services/services/rate/proto._Rate_GetRates_Handler;github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingServerInterceptor.func1;github.com/harlow/go-micro-services/services/rate/proto._Rate_GetRates_Handler.func1;github.com/harlow/go-micro-services/services/rate.(*Server).GetRates;encoding/json.Unmarshal;encoding/json.(*decodeState).unmarshal;encoding/json.(*decodeState).value;encoding/json.(*decodeState).object,50
